AppID,Name,Release date,Price,Genres,Tags,Developer,Positive,Negative,Metacritic score,Average playtime forever
946030,Axiom Verge 2,"Aug 11, 2022",9.99,"Action,Adventure,Indie","Action,Adventure,Metroidvania,Platformer,2D Platformer,Action-Adventure,Pixel Graphics,Side Scroller,2D,Sci-fi,Female Protagonist,Indie,Hack and Slash,Nonlinear,Singleplayer,Story Rich",Thomas Happ Games LLC,612,142,0,183
1809540,Nine Sols,"May 28, 2024",17.99,"Action,Adventure,Indie","Metroidvania,Souls-like,Difficult,Action,2D,Platformer,Hand-drawn,Atmospheric,Adventure,Story Rich,Cats,Indie,Gore,Dark Fantasy,Sci-fi,Mythology,Singleplayer,Martial Arts,Action-Adventure,Comic Book",RedCandleGames,27488,1408,0,990
692850,Bloodstained: Ritual of the Night,"Jun 18, 2019",9.99,"Action,Adventure,RPG","Metroidvania,RPG,Female Protagonist,Action,Adventure,Anime,Side Scroller,2.5D,Platformer,Great Soundtrack,Dark Fantasy,Gothic,Exploration,Singleplayer,Crafting,2D,Difficult,Nudity,Indie,Sexual Content",ArtPlay,36999,2486,0,1139
2751000,Prince of Persia The Lost Crown,"Aug 8, 2024",11.99,"Action,Adventure","Metroidvania,Exploration,2D Platformer,Side Scroller,Action,Precision Platformer,Adventure,Action-Adventure,Action RPG,Controller,Colorful,Singleplayer,Stylized,Combat,Atmospheric,Hack and Slash,Great Soundtrack,Platformer,Souls-like,Multiplayer",Ubisoft Montpellier,3388,595,85,795
1369630,ENDER LILIES: Quietus of the Knights,"Jun 21, 2021",9.99,"Action,Indie,RPG","Metroidvania,Female Protagonist,Souls-like,Dark Fantasy,Singleplayer,Great Soundtrack,Atmospheric,2D,Difficult,Indie,Multiple Endings,Dark,Post-apocalyptic,Action RPG,Medieval,Action,Hand-drawn,Anime,Dragons,Zombies","Live Wire,Adglobe",37155,2378,86,737
534550,Guacamelee! 2,"Aug 21, 2018",4.99,"Action,Adventure,Indie","Metroidvania,Platformer,Cartoony,Local Co-Op,Action,2D,Co-op,Difficult,Beat 'em up,Adventure,Singleplayer,Colorful,Funny,4 Player Local,Side Scroller,Action-Adventure,Atmospheric,Wrestling,Exploration,2D Platformer",Drinkbox Studios,2863,282,84,552
2725260,ENDER MAGNOLIA: Bloom in the Mist,"Jan 22, 2025",16.24,"Action,RPG","Metroidvania,2D,Singleplayer,Dark Fantasy,Action RPG,RPG,Female Protagonist,Souls-like,Action,Great Soundtrack,Anime,Fantasy,Medieval,Atmospheric,Story Rich,Side Scroller,Cute,Platformer,Difficult,Early Access","Adglobe,Live Wire",12876,589,0,997
2313700,Constance,"Nov 24, 2025",19.99,"Action,Adventure,Indie",,btf,0,0,81,174
1721060,Mandragora: Whispers of the Witch Tree,"Apr 17, 2025",23.99,"Action,Indie,RPG","Violent,Action RPG,RPG,Souls-like,Dark Fantasy,2.5D,Side Scroller,Action,Difficult,Dark,Story Rich,Combat,Survival,Singleplayer,Atmospheric,Medieval,Platformer,Metroidvania,Kickstarter,Blood",Primal Game Studio,1502,721,0,828
283640,Salt and Sanctuary,"May 17, 2016",4.49,"Action,Indie,RPG","Souls-like,Metroidvania,Dark Fantasy,2D,Difficult,RPG,Action,Platformer,Indie,Local Co-Op,Atmospheric,Dark,Action RPG,Co-op,Gore,Side Scroller,Singleplayer,Adventure,Horror,Story Rich",Ska Studios,18485,2167,84,771
1030300,Hollow Knight: Silksong,"Sep 4, 2025",15.99,"Action,Adventure,Indie",,Team Cherry,0,0,90,2825
367520,Hollow Knight,"Feb 24, 2017",7.49,"Action,Adventure,Indie","Metroidvania,Souls-like,Platformer,Great Soundtrack,2D,Difficult,Indie,Singleplayer,Atmospheric,Exploration,Adventure,Story Rich,Hand-drawn,Multiple Endings,Action,Dark Fantasy,Open World,Cute,Controller,Side Scroller",Team Cherry,403641,12305,87,2087
1253920,Rogue Legacy 2,"Apr 28, 2022",9.99,"Action,Adventure,Indie,RPG","Arcade,Metroidvania,Platformer,Action,Indie,Adventure,RPG,Rogue-lite,Difficult,Singleplayer,2D,Side Scroller,Rogue-like,Procedural Generation,Cartoony,Action Roguelike,2D Platformer,Roguevania,Great Soundtrack,Replay Value",Cellar Door Games,13143,1326,88,1392
1517970,Aeterna Noctis,"Dec 14, 2021",5.99,"Action,Adventure,Indie","Metroidvania,Difficult,Souls-like,Platformer,Precision Platformer,Soundtrack,2D,Action-Adventure,Indie,Exploration,Atmospheric,Singleplayer,Puzzle-Platformer,Hand-drawn,Side Scroller,Open World,Anime,Story Rich,Controller,Action",Aeternum Game Studios S.L,1339,417,0,95
1203630,Record of Lodoss War-Deedlit in Wonder Labyrinth-,"Mar 27, 2021",8.99,"Action,Indie","Metroidvania,Female Protagonist,Based On A Novel,Exploration,Platformer,2D,Pixel Graphics,Beat 'em up,RPG,Anime,Fantasy,Action,Cute,Controller,Surreal,Singleplayer,Adventure,Indie,Great Soundtrack,Early Access","Team Ladybug,WSS playground",6262,471,0,243
1701520,Afterimage,"Apr 24, 2023",4.99,"Action,Adventure,Indie","Metroidvania,Female Protagonist,2D Platformer,Side Scroller,Anime,Exploration,Souls-like,Hack and Slash,Action RPG,Difficult,Action-Adventure,Platformer,RPG,2D,Cute,Lore-Rich,Open World,Story Rich,Multiple Endings,Choices Matter",Aurogon Shanghai,6526,1878,0,760
813230,ANIMAL WELL,"May 9, 2024",17.49,"Action,Adventure,Indie","Metroidvania,Exploration,Puzzle,Pixel Graphics,Puzzle-Platformer,Horror,Platformer,2D,Atmospheric,Adventure,Mystery,Action,Indie,Surreal,Nonlinear,Relaxing,Cute,Singleplayer,Retro,Controller",Billy Basso,19956,834,90,626
774361,Blasphemous,"Sep 10, 2019",2.49,"Action,Adventure,Indie","Metroidvania,Pixel Graphics,Souls-like,Dark Fantasy,Gore,2D,Violent,Action,Indie,Difficult,Platformer,Singleplayer,Blood,Adventure,Gothic,Horror,Lore-Rich,Great Soundtrack,Side Scroller,Nudity",The Game Kitchen,46393,5091,77,629
356650,Death's Gambit: Afterlife,"Aug 13, 2018",8.99,"Action,Adventure,Indie,RPG","Souls-like,Metroidvania,RPG,Pixel Graphics,Dark Fantasy,Action,2D,Indie,Adventure,Platformer,Difficult,Action RPG,Singleplayer,Side Scroller,Atmospheric,Great Soundtrack,Fantasy,Story Rich,Replay Value,Controller",White Rabbit,4299,974,81,618
1123050,GRIME,"Aug 2, 2021",11.24,"Action,Indie,RPG","Metroidvania,Souls-like,Platformer,Dark Fantasy,Difficult,Action-Adventure,Exploration,2.5D,Action RPG,Surreal,Action,Atmospheric,Side Scroller,Adventure,Singleplayer,Dark,Combat,Indie,Controller,Cinematic",Clover Bite,4936,852,81,483
275390,Guacamelee! Super Turbo Championship Edition,"Aug 21, 2014",3.74,"Action,Adventure,Indie","Platformer,2D,Metroidvania,Beat 'em up,Action,Colorful,Cartoony,Indie,Local Co-Op,Adventure,Funny,Difficult,Action-Adventure,Co-op,Singleplayer,4 Player Local,Wrestling,Action RPG,2D Platformer,Side Scroller",Drinkbox Studios,6234,499,0,278
332200,Axiom Verge,"May 14, 2015",4.99,"Action,Adventure,Indie","Metroidvania,Indie,Pixel Graphics,Platformer,Action,Great Soundtrack,2D,Sci-fi,Adventure,Retro,Exploration,Singleplayer,Atmospheric,Cyberpunk,Side Scroller,Difficult,Aliens,Shooter,Horror,Story Rich",Thomas Happ Games LLC,5515,549,80,535
2014550,Voidwrought,"Oct 24, 2024",6.79,"Action,Adventure,Indie","Metroidvania,Dark,Lore-Rich,2D Platformer,Exploration,Lovecraftian,2D,Action,Combat,Platformer,Atmospheric,Action-Adventure,Controller,Mythology,Hand-drawn,Fantasy,Horror,Supernatural,Singleplayer,Dark Fantasy",Powersnake,480,131,76,732
